Time(UTC),swd_1,swu_1,lwd_1,lwu_1,t_rad_1
2025-09-16 13:01:00,248.5274,58.2929,362.0058,381.9531,13.8596
2025-09-16 13:02:00,261.0971,60.5614,361.9169,382.9153,13.9276
2025-09-16 13:03:00,295.3557,68.9254,362.3067,384.8319,13.9961
2025-09-16 13:04:00,243.9677,56.6342,363.187,384.4179,14.1291
2025-09-16 13:05:00,236.6835,55.0522,363.2592,383.4501,14.1281
2025-09-16 13:06:00,209.1122,49.3104,363.8203,382.9492,14.1748
2025-09-16 13:07:00,167.4055,39.641,364.6123,382.7456,14.2213
2025-09-16 13:08:00,134.9221,31.8635,364.6691,381.5855,14.129
2025-09-16 13:09:00,117.4992,27.5824,364.704,380.9127,14.1295
2025-09-16 13:10:00,99.398,23.6214,365.0144,380.0171,14.1295
2025-09-16 13:11:00,82.7553,20.2131,364.7303,378.6925,13.9921
2025-09-16 13:12:00,78.9827,19.1621,365.0954,378.4049,13.9921
2025-09-16 13:13:00,75.2888,17.879,365.0057,378.1162,13.9239
2025-09-16 13:14:00,72.2576,17.0825,364.9371,377.8375,13.8555
2025-09-16 13:15:00,77.0036,18.1888,364.8796,377.7136,13.853
2025-09-16 13:16:00,82.8227,19.8814,364.6894,377.7003,13.8505
2025-09-16 13:17:00,102.9598,24.5285,364.2048,377.9128,13.851
2025-09-16 13:18:00,123.0765,29.3972,363.9325,378.1609,13.8519
2025-09-16 13:19:00,149.1654,35.6373,363.9104,378.7141,13.8519
2025-09-16 13:20:00,161.0479,38.4922,363.9586,379.1055,13.8568
2025-09-16 13:21:00,156.6634,37.5739,364.1578,379.2936,13.8568
2025-09-16 13:22:00,168.5984,40.0729,363.9265,379.5153,13.8568
2025-09-16 13:23:00,182.4682,43.4138,364.1838,379.9938,13.9254
2025-09-16 13:24:00,173.9527,41.6876,365.4069,381.1504,14.1345
2025-09-16 13:25:00,150.5523,36.2884,365.464,380.6985,14.1143
2025-09-16 13:26:00,144.9209,34.0203,365.7589,381.2035,14.1362
2025-09-16 13:27:00,131.953,30.5682,365.985,380.832,14.1309
2025-09-16 13:28:00,97.2361,22.8348,365.8444,379.5409,14.0161
2025-09-16 13:29:00,82.5222,19.2946,365.5568,378.6781,13.9276
2025-09-16 13:30:00,80.3648,18.653,365.544,378.3001,13.8819
2025-09-16 13:31:00,70.9409,16.9608,365.5746,377.8001,13.8547
2025-09-16 13:32:00,66.8374,16.3415,365.8172,377.7662,13.8525
