Time(UTC),swd_1,swu_1,lwd_1,lwu_1,t_rad_1
2024-09-17 14:00:00,517.1689,128.0746,342.5279,412.6371,19.45914
2024-09-17 14:01:00,267.462,57.67757,339.5231,406.4689,19.31544
2024-09-17 14:02:00,227.4622,47.94461,335.7398,404.9637,19.11438
2024-09-17 14:03:00,291.7673,64.58979,334.4633,404.3286,19.11357
2024-09-17 14:04:00,390.7511,92.78197,334.0754,402.1494,18.8826
2024-09-17 14:05:00,557.5983,138.8799,337.9018,409.2827,19.10953
2024-09-17 14:06:00,482.2205,119.2836,337.3172,409.728,19.112
2024-09-17 14:07:00,272.3483,59.68052,335.2159,403.0255,18.88501
2024-09-17 14:08:00,348.6561,79.96725,336.127,402.357,18.77263
2024-09-17 14:09:00,556.9318,139.9388,336.9018,409.1275,18.94322
2024-09-17 14:10:00,556.4369,138.8065,335.0173,411.3332,19.11423
2024-09-17 14:11:00,529.1092,130.9056,333.4966,410.3191,19.11481
2024-09-17 14:12:00,546.7648,136.4133,334.4103,414.0197,19.40266
2024-09-17 14:13:00,529.8063,132.4531,332.6411,411.2768,19.46109
2024-09-17 14:14:00,491.0699,121.9241,331.9664,411.1772,19.46109
2024-09-17 14:15:00,257.8866,55.53195,329.7686,406.613,19.39933
2024-09-17 14:16:00,190.2893,37.57068,327.9977,401.104,19.11053
2024-09-17 14:17:00,337.9518,82.15371,328.2868,403.6054,19.11281
2024-09-17 14:18:00,484.5503,121.5939,330.5045,407.4933,19.22895
2024-09-17 14:19:00,502.6713,125.5326,332.6344,410.531,19.46027
2024-09-17 14:20:00,498.2487,124.8495,330.0975,411.7893,19.46179
2024-09-17 14:21:00,496.6206,125.5344,329.126,409.2026,19.46202
2024-09-17 14:22:00,288.3799,65.87293,329.4009,406.4664,19.46317
2024-09-17 14:23:00,310.2253,73.37157,329.4865,402.9797,19.11755
2024-09-17 14:24:00,455.2955,113.5985,331.7766,410.3145,19.37726
2024-09-17 14:25:00,312.3194,73.77119,332.0246,410.2309,19.4639
2024-09-17 14:26:00,179.4843,34.86141,333.3314,402.5122,19.1151
