Time(UTC),batt_v_1,t_log_1,rh_1,rh_2,rh_3,rh_4,rh_5,t_1,t_2,t_3,t_4,t_5,wspd_1,wdir_1,wspd_2,wdir_2,wspd_3,wdir_3,wspd_4,wdir_4,wspd_5,wdir_5
2024-09-17 14:30:00,13.1913,24.9923,62.4167,62.6883,62.944,63.3407,64.293,19.5643,19.6773,19.799,19.767,19.8593,3.0548,48.7489,2.7464,42.3438,2.5608,47.0029,2.4352,51.2769,2.055,49.5834
2024-09-17 15:00:00,13.2167,25.1963,61.8543,62.121,62.3757,62.783,63.6743,19.6813,19.7883,19.8967,19.862,19.9207,3.1062,48.625,2.8048,42.5231,2.5863,48.1296,2.4585,53.4599,2.1042,53.1852
2024-09-17 15:30:00,13.2167,25.062,61.36,61.5927,61.8277,62.255,63.2563,19.8367,19.9127,20.0107,19.9383,19.9347,3.3248,48.6846,3.0053,43.7642,2.8058,50.2797,2.6493,52.122,2.256,51.5548
2024-09-17 16:00:00,13.2117,24.47,61.0907,61.2923,61.4537,61.7987,62.6267,19.8723,19.9407,20.0213,19.9503,19.9093,2.6839,29.8956,2.3733,20.6007,2.161,27.9676,2.0754,29.7479,1.7326,28.221
2024-09-17 16:30:00,13.2347,23.5877,59.766,60.0683,60.4297,60.9057,62.1223,19.8053,19.8583,19.8823,19.7623,19.6123,3.3751,44.799,2.9245,37.1396,2.568,40.519,2.45,44.1433,2.0493,42.8327
2024-09-17 17:00:00,13.2627,21.98,61.131,61.6133,62.1343,62.7823,64.292,19.4083,19.417,19.3897,19.209,18.9523,2.372,44.1414,2.1453,39.4512,1.9872,45.5119,1.8498,49.8748,1.5166,48.2336
2024-09-17 17:30:00,12.348,20.222,66.8327,67.332,67.6933,68.1757,69.4427,18.8447,18.835,18.808,18.6347,18.388,1.8269,22.2879,1.4972,13.2805,1.3267,16.8061,1.2821,22.5353,1.0477,22.3041
2024-09-17 18:00:00,11.9177,18.6317,72.2673,72.7047,73.0327,73.4927,74.68,18.033,18.031,18.0113,17.8437,17.5927,1.7431,23.2179,1.531,18.4194,1.3646,21.9031,1.3291,25.8829,1.1281,22.7981
2024-09-17 18:30:00,11.86,17.2633,73.9197,74.2937,74.6157,75.048,76.173,17.448,17.458,17.4307,17.285,17.0453,1.7048,25.4419,1.5001,15.4273,1.3589,19.4339,1.3278,21.3279,1.1187,20.9332
2024-09-17 19:00:00,11.869,16.1447,75.756,76.212,76.608,77.0057,78.2453,16.969,16.9693,16.934,16.7877,16.5337,1.8759,18.4829,1.5939,8.1223,1.4552,7.3984,1.4338,12.0301,1.1692,9.2194
2024-09-17 19:30:00,11.851,15.3513,77.6037,78.017,78.2947,78.62,79.6583,16.5147,16.517,16.529,16.3643,16.1717,2.0401,13.6877,1.6285,3.4436,1.4454,4.6171,1.421,10.3764,1.1812,11.9801
2024-09-17 20:00:00,11.8537,14.805,78.6777,79.0987,79.4593,79.8493,80.927,16.2367,16.254,16.2587,16.072,15.8693,2.3418,33.1921,2.0369,22.6285,1.85,24.7447,1.7786,29.873,1.4717,27.5829
2024-09-17 20:30:00,11.842,14.4227,81.32,81.7133,82.03,82.3567,83.47,15.8003,15.8163,15.806,15.6343,15.412,1.3944,28.0062,1.262,15.5161,1.2252,16.7563,1.2054,19.6004,1.0366,16.9926
2024-09-17 21:00:00,11.8297,13.9927,83.24,83.6567,84.0467,84.38,85.4867,15.4363,15.439,15.419,15.2493,15.009,1.3966,28.4066,1.2233,21.1608,1.088,25.66,1.0669,25.7326,0.9332,26.634
2024-09-17 21:30:00,11.82,13.6243,84.52,85.0133,85.4933,85.88,87.0067,15.2367,15.242,15.189,15.0243,14.7843,1.485,30.0897,1.3056,19.428,1.1893,23.5714,1.1612,24.6667,0.9889,21.0885
2024-09-17 22:00:00,11.81,13.4163,85.5467,85.95,86.31,86.69,87.6933,15.193,15.2057,15.175,15.0157,14.7923,1.6919,43.25,1.5146,35.0651,1.3886,42.3754,1.3117,44.9664,1.1224,42.3953
2024-09-17 22:30:00,11.7933,13.2593,87.4033,87.9533,88.38,88.7667,89.6533,14.893,14.886,14.835,14.6607,14.4413,1.1107,45.5972,0.9445,32.9123,0.8661,39.0359,0.8295,40.6315,0.7801,38.4954
2024-09-17 23:00:00,11.8283,12.953,88.7233,89.2667,89.8267,90.3167,91.45,14.6043,14.5883,14.505,14.2943,13.9913,0.9221,44.8651,0.8025,45.6576,0.7535,50.7144,0.728,53.3891,0.7015,52.5995
2024-09-17 23:30:00,11.869,12.58,90.5667,91.1833,91.6233,91.98,92.9467,14.247,14.224,14.1673,13.9763,13.7113,0.9946,11.5237,0.8315,357.6894,0.735,2.6122,0.7254,2.9089,0.6923,0.0115
2024-09-18 00:00:00,11.8567,12.296,91.2533,91.7633,92.21,92.5333,93.4467,14.1677,14.1727,14.1247,13.9647,13.7257,1.4994,16.9242,1.1973,4.0891,1.0373,9.5594,1.0222,12.6408,0.8931,10.4198
2024-09-18 00:30:00,11.842,12.2553,91.3833,91.7833,92.0867,92.3267,93.18,14.2473,14.2733,14.2423,14.0937,13.872,1.1625,30.8373,1.0349,20.2659,0.9295,25.3556,0.9055,25.5376,0.818,23.3892
2024-09-18 01:00:00,11.8353,12.21,92.59,93.12,93.45,93.7,94.4433,14.082,14.0823,14.0503,13.8943,13.6733,1.1756,23.4065,0.9815,19.582,0.8929,23.7231,0.8689,21.8294,0.8014,22.5355
2024-09-18 01:30:00,11.8263,12.1923,93.16,93.5567,93.8267,93.9733,94.6867,13.985,14.0187,13.9893,13.8537,13.6243,1.1257,24.5017,0.943,15.5198,0.8315,20.1418,0.8347,21.3141,0.7681,19.7624
2024-09-18 02:00:00,11.8163,12.1293,93.25,93.7867,94.17,94.4033,95.1467,13.9107,13.9157,13.8743,13.7203,13.4917,1.1516,21.3909,0.9767,9.9138,0.8506,17.091,0.848,14.0722,0.7722,9.9168
2024-09-18 02:30:00,11.807,12.0647,93.6,94.0333,94.2833,94.4667,95.2167,13.8007,13.8203,13.809,13.6593,13.4417,1.2625,19.066,1.0728,13.8022,0.9613,19.7109,0.9746,20.401,0.8476,18.3964
