Time(UTC),swd_1,swu_1,lwd_1,lwu_1,t_rad_1
2024-09-17 14:00:00,428.3469,101.9716,349.4711,410.0344,19.0007
2024-09-17 14:30:00,410.698,99.4098,334.1649,407.8297,19.2354
2024-09-17 15:00:00,392.0678,99.1273,323.9308,406.297,19.332
2024-09-17 15:30:00,328.4182,87.4072,322.2752,402.1475,19.0396
2024-09-17 16:00:00,240.9611,69.1059,321.4549,398.168,18.6325
2024-09-17 16:30:00,158.3924,48.6332,289.5314,361.0062,11.9167
2024-09-17 17:00:00,75.6572,22.4964,318.8964,384.5932,16.2958
2024-09-17 17:30:00,35.5555,10.8442,323.3282,383.1716,15.8246
2024-09-17 18:00:00,7.2537,3.7947,323.3183,379.3936,14.8099
2024-09-17 18:30:00,-0.9871,1.8794,318.0544,376.1393,14.1039
2024-09-17 19:00:00,-1.5481,1.7505,315.7239,374.0204,13.567
2024-09-17 19:30:00,-1.4663,1.595,317.4642,373.1686,13.2309
2024-09-17 20:00:00,-1.3557,1.6146,315.7035,372.6404,13.0039
2024-09-17 20:30:00,-1.7235,1.75,312.1567,369.282,12.4448
2024-09-17 21:00:00,-1.3732,1.9234,312.7198,367.6285,11.9741
2024-09-17 21:30:00,-1.2263,2.0057,312.8454,367.2437,11.7965
2024-09-17 22:00:00,-1.3558,2.0189,308.2454,367.2003,11.7379
2024-09-17 22:30:00,-1.5709,1.9342,311.0165,364.8539,11.4362
2024-09-17 23:00:00,-1.4167,2.2499,306.3821,361.7426,11.0184
2024-09-17 23:30:00,-1.3997,2.2525,303.863,361.3297,10.7678
2024-09-18 00:00:00,-1.2544,2.3565,303.0019,362.7005,10.6808
2024-09-18 00:30:00,-1.4152,2.3332,302.977,361.7861,10.6136
2024-09-18 01:00:00,-1.2518,2.2348,304.167,361.3149,10.4741
2024-09-18 01:30:00,-1.3012,2.2878,304.5222,361.0867,10.3812
2024-09-18 02:00:00,-1.3853,2.335,307.3076,361.2391,10.4446
2024-09-18 02:30:00,-1.326,2.2517,309.8029,361.4747,10.3848
2024-09-18 03:00:00,-1.2791,2.2536,314.7242,361.8007,10.3725
2024-09-18 03:30:00,-1.2175,2.0415,323.6595,361.8673,10.3255
2024-09-18 04:00:00,-1.1548,2.3012,327.3837,364.1661,10.4946
2024-09-18 04:30:00,-1.5889,2.0651,316.4964,365.8286,10.8117
2024-09-18 05:00:00,-1.6218,1.8412,313.444,365.6667,10.9088
2024-09-18 05:30:00,0.0764,1.4898,343.9449,369.3839,11.1883
2024-09-18 06:00:00,7.9969,2.4048,364.9618,372.4232,11.4595
2024-09-18 06:30:00,29.3224,7.2362,362.9412,372.6131,11.4372
2024-09-18 07:00:00,53.3621,12.5658,364.9284,373.5834,11.4716
2024-09-18 07:30:00,81.4428,18.7023,365.2691,376.1531,11.8186
2024-09-18 08:00:00,142.5361,32.4988,364.9148,380.2533,12.4094
2024-09-18 08:30:00,201.9247,45.6049,360.6347,383.0429,12.899
2024-09-18 09:00:00,302.6408,71.2469,329.6581,387.0741,13.9657
2024-09-18 09:30:00,449.8611,106.6937,310.9126,393.7592,15.4318
2024-09-18 10:00:00,476.1731,108.9259,312.172,401.4745,16.8269
2024-09-18 10:30:00,529.1927,119.7565,314.924,406.4336,18.0194
2024-09-18 11:00:00,574.489,129.2756,318.1621,411.8641,19.0218
2024-09-18 11:30:00,600.7671,136.0517,320.6444,414.8221,19.5879
2024-09-18 12:00:00,591.8251,134.9667,323.4622,415.8172,20.024
2024-09-18 12:30:00,587.9157,132.9702,327.918,420.6374,20.9345
2024-09-18 13:00:00,550.5341,125.0603,326.8006,418.4512,21.0546
2024-09-18 13:30:00,539.4366,125.014,329.2231,419.0815,21.0684
2024-09-18 14:00:00,472.7102,112.4889,329.1126,415.0256,20.9749
2024-09-18 14:30:00,433.8965,106.9202,327.5549,414.2689,21.1214
2024-09-18 15:00:00,363.8704,93.0983,325.2299,409.6909,20.5515
2024-09-18 15:30:00,308.7031,83.8619,323.5065,406.6149,20.072
2024-09-18 16:00:00,243.691,71.6751,321.271,402.4542,19.4748
2024-09-18 16:30:00,166.9207,53.7731,322.2122,398.4442,18.7699
2024-09-18 17:00:00,96.0304,31.755,323.2891,393.7971,17.9424
2024-09-18 17:30:00,31.3566,11.0555,320.1493,387.9079,16.8205
2024-09-18 18:00:00,3.9526,3.1438,316.8174,381.6702,15.6472
2024-09-18 18:30:00,-1.3149,2.247,314.6518,380.0485,14.9667
2024-09-18 19:00:00,-1.548,2.0948,313.9311,381.1226,14.8445
2024-09-18 19:30:00,-1.5817,1.9814,313.9264,380.9458,14.7329
2024-09-18 20:00:00,-1.5566,2.0416,313.4,380.5557,14.6733
2024-09-18 20:30:00,-1.7281,1.9029,312.1199,379.3718,14.2871
2024-09-18 21:00:00,-1.5512,2.0944,311.5756,377.8781,13.8645
2024-09-18 21:30:00,-1.5818,1.9819,311.2527,378.4973,14.0627
2024-09-18 22:00:00,-1.6887,2.0781,311.6631,375.6472,13.7108
2024-09-18 22:30:00,-1.4081,2.1468,312.6364,376.4194,13.7136
2024-09-18 23:00:00,-1.5191,1.996,311.9216,375.9744,13.6281
2024-09-18 23:30:00,-1.8024,2.0185,311.3342,373.3243,13.4261
