Time(UTC),uu,uv,uw,uTs,uTc1,uH2O,vv,vw,vTs,vTc1,vH2O,ww,wTs,wTc1,wH2O,TsTs,Tc1Tc1,H2OH2O,u,v,w,Ts,Tc1,H2O,Uyp,WDy,WDyWDy,wgwg,wguy,wgTc2,uywg,uyTc2,Tc2Tc2,wg,Uy,Tc2,wdir_Y
2024-09-17 14:30:00,0.875,-0.224,0.104,0.046,0.071,0.099,1.832,-0.013,-0.126,-0.187,-0.093,0.266,0.026,0.037,0.063,0.045369,0.164025,0.103684,-1.764,1.823,-0.088,25.29,20.26,24.67,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 15:00:00,1.131,-0.373,0.152,0.075,0.156,0.115,1.964,-0.056,-0.172,-0.184,-0.149,0.325,0.026,0.042,0.064,0.043681,0.116281,0.101124,-1.703,1.819,-0.091,25.4,20.4,24.64,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 15:30:00,1.219,-0.505,0.075,0.044,0.122,0.095,2.114,0.036,-0.121,-0.199,-0.104,0.349,0.01,0.019,0.046,0.023716,0.074529,0.073441,-1.92,2.047,-0.129,25.52,20.35,24.6,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 16:00:00,1.08,-0.365,0.155,0.033,0.077,0.064,1.663,-0.034,-0.037,-0.023,-0.035,0.309,0.002,0.011,0.034,0.0144,0.0484,0.053824,-1.732,0.819,-0.112,25.57,20.29,24.54,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 16:30:00,0.926,-0.12,0.131,-0.004,-0.005,0.055,1.283,0.019,-0.023,-0.047,-0.008,0.304,-0.017,-0.007,0.039,0.014161,0.022801,0.038809,-2.065,1.666,-0.138,25.49,20.02,24.14,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 17:00:00,0.582,-0.077,0.075,-0.029,-0.028,0.03,0.872,0.012,0.018,0.005,-0.024,0.182,-0.025,-0.021,0.024,0.029241,0.023716,0.029241,-1.503,1.403,-0.055,25.09,19.33,24.11,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 17:30:00,0.381,-0.173,0.062,-0.029,-0.024,0.016,0.552,0.002,0.018,0.008,-0.021,0.141,-0.018,-0.013,0.01,0.032041,0.023104,0.019044,-1.14,0.362,-0.05,24.57,18.59,24.97,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 18:00:00,0.493,-0.23,0.082,-0.04,-0.039,0.02,0.74,-0.02,0.029,0.024,-0.015,0.152,-0.023,-0.019,0.01,0.0324,0.024649,0.008281,-1.196,0.502,-0.093,23.85,17.71,25.47,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 18:30:00,0.407,-0.151,0.062,-0.027,-0.031,0.009,0.694,-0.024,0.023,0.017,-0.01,0.136,-0.019,-0.015,0.007,0.0324,0.024649,0.0049,-1.179,0.418,-0.056,23.28,17.12,25.27,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2024-09-17 19:00:00,0.37,-0.061,0.069,-0.029,-0.035,0.011,0.611,-0.005,0.003,-0.002,-0.001,0.149,-0.017,-0.017,0.006,0.026244,0.019881,0.003025,-1.236,0.156,-0.063,22.82,16.64,25.22,0.0,0.0,0.0,,,,0.0,,,,0.0,,
